COUNTY,STNAME,CTYNAME
57,Louisiana,Lafourche Parish
59,Louisiana,LaSalle Parish
61,Louisiana,Lincoln Parish
63,Louisiana,Livingston Parish
65,Louisiana,Madison Parish
67,Louisiana,Morehouse Parish
69,Louisiana,Natchitoches Parish
71,Louisiana,Orleans Parish
73,Louisiana,Ouachita Parish
75,Louisiana,Plaquemines Parish
77,Louisiana,Pointe Coupee Parish
79,Louisiana,Rapides Parish
81,Louisiana,Red River Parish
83,Louisiana,Richland Parish
85,Louisiana,Sabine Parish
87,Louisiana,St. Bernard Parish
89,Louisiana,St. Charles Parish
91,Louisiana,St. Helena Parish
93,Louisiana,St. James Parish
95,Louisiana,St. John the Baptist Parish
97,Louisiana,St. Landry Parish
99,Louisiana,St. Martin Parish
101,Louisiana,St. Mary Parish
103,Louisiana,St. Tammany Parish
105,Louisiana,Tangipahoa Parish
107,Louisiana,Tensas Parish
109,Louisiana,Terrebonne Parish
111,Louisiana,Union Parish
113,Louisiana,Vermilion Parish
115,Louisiana,Vernon Parish
117,Louisiana,Washington Parish
119,Louisiana,Webster Parish
121,Louisiana,West Baton Rouge Parish
123,Louisiana,West Carroll Parish
125,Louisiana,West Feliciana Parish
127,Louisiana,Winn Parish
0,Maine,Maine
1,Maine,Androscoggin
3,Maine,Aroostook
5,Maine,Cumberland
7,Maine,Franklin
9,Maine,Hancock
11,Maine,Kennebec
13,Maine,Knox
15,Maine,Lincoln
17,Maine,Oxford
19,Maine,Penobscot
21,Maine,Piscataquis
23,Maine,Sagadahoc
25,Maine,Somerset
27,Maine,Waldo
29,Maine,Washington
31,Maine,York
0,Maryland,Maryland
1,Maryland,Allegany
3,Maryland,Anne Arundel
5,Maryland,Baltimore
9,Maryland,Calvert
11,Maryland,Caroline
13,Maryland,Carroll
15,Maryland,Cecil
17,Maryland,Charles
19,Maryland,Dorchester
21,Maryland,Frederick
23,Maryland,Garrett
25,Maryland,Harford
27,Maryland,Howard
29,Maryland,Kent
31,Maryland,Montgomery
33,Maryland,Prince George's
35,Maryland,Queen Anne's
37,Maryland,St. Mary's
39,Maryland,Somerset
41,Maryland,Talbot
43,Maryland,Washington
45,Maryland,Wicomico
47,Maryland,Worcester
510,Maryland,Baltimore city
0,Massachusetts,Massachusetts
1,Massachusetts,Barnstable
3,Massachusetts,Berkshire
5,Massachusetts,Bristol
7,Massachusetts,Dukes
9,Massachusetts,Essex
11,Massachusetts,Franklin
13,Massachusetts,Hampden
15,Massachusetts,Hampshire
17,Massachusetts,Middlesex
19,Massachusetts,Nantucket
21,Massachusetts,Norfolk
23,Massachusetts,Plymouth
25,Massachusetts,Suffolk
27,Massachusetts,Worcester
0,Michigan,Michigan
1,Michigan,Alcona
3,Michigan,Alger
5,Michigan,Allegan
7,Michigan,Alpena
9,Michigan,Antrim
11,Michigan,Arenac
13,Michigan,Baraga
15,Michigan,Barry
17,Michigan,Bay
19,Michigan,Benzie
21,Michigan,Berrien
23,Michigan,Branch
25,Michigan,Calhoun
27,Michigan,Cass
29,Michigan,Charlevoix
31,Michigan,Cheboygan
33,Michigan,Chippewa
35,Michigan,Clare
37,Michigan,Clinton
39,Michigan,Crawford
41,Michigan,Delta
43,Michigan,Dickinson
45,Michigan,Eaton
47,Michigan,Emmet
49,Michigan,Genesee
51,Michigan,Gladwin
53,Michigan,Gogebic
55,Michigan,Grand Traverse
57,Michigan,Gratiot
59,Michigan,Hillsdale
61,Michigan,Houghton
63,Michigan,Huron
65,Michigan,Ingham
67,Michigan,Ionia
69,Michigan,Iosco
71,Michigan,Iron
73,Michigan,Isabella
75,Michigan,Jackson
77,Michigan,Kalamazoo
79,Michigan,Kalkaska
81,Michigan,Kent
83,Michigan,Keweenaw
85,Michigan,Lake
87,Michigan,Lapeer
89,Michigan,Leelanau
91,Michigan,Lenawee
93,Michigan,Livingston
95,Michigan,Luce
97,Michigan,Mackinac
99,Michigan,Macomb
101,Michigan,Manistee
103,Michigan,Marquette
105,Michigan,Mason
107,Michigan,Mecosta
109,Michigan,Menominee
111,Michigan,Midland
113,Michigan,Missaukee
115,Michigan,Monroe
117,Michigan,Montcalm
119,Michigan,Montmorency
121,Michigan,Muskegon
123,Michigan,Newaygo
125,Michigan,Oakland
127,Michigan,Oceana
129,Michigan,Ogemaw
131,Michigan,Ontonagon
133,Michigan,Osceola
135,Michigan,Oscoda
137,Michigan,Otsego
139,Michigan,Ottawa
141,Michigan,Presque Isle
143,Michigan,Roscommon
145,Michigan,Saginaw
147,Michigan,St. Clair
149,Michigan,St. Joseph
151,Michigan,Sanilac
153,Michigan,Schoolcraft
155,Michigan,Shiawassee
157,Michigan,Tuscola
159,Michigan,Van Buren
161,Michigan,Washtenaw
163,Michigan,Wayne
165,Michigan,Wexford
0,Minnesota,Minnesota
1,Minnesota,Aitkin
3,Minnesota,Anoka
5,Minnesota,Becker
7,Minnesota,Beltrami
9,Minnesota,Benton
11,Minnesota,Big Stone
13,Minnesota,Blue Earth
15,Minnesota,Brown
17,Minnesota,Carlton
19,Minnesota,Carver
21,Minnesota,Cass
23,Minnesota,Chippewa
25,Minnesota,Chisago
27,Minnesota,Clay
29,Minnesota,Clearwater
31,Minnesota,Cook
33,Minnesota,Cottonwood
35,Minnesota,Crow Wing
37,Minnesota,Dakota
39,Minnesota,Dodge
41,Minnesota,Douglas
43,Minnesota,Faribault
45,Minnesota,Fillmore
47,Minnesota,Freeborn
49,Minnesota,Goodhue
51,Minnesota,Grant
53,Minnesota,Hennepin
55,Minnesota,Houston
57,Minnesota,Hubbard
59,Minnesota,Isanti
61,Minnesota,Itasca
63,Minnesota,Jackson
65,Minnesota,Kanabec
67,Minnesota,Kandiyohi
69,Minnesota,Kittson
71,Minnesota,Koochiching
73,Minnesota,Lac qui Parle
75,Minnesota,Lake
77,Minnesota,Lake of the Woods
79,Minnesota,Le Sueur
81,Minnesota,Lincoln
83,Minnesota,Lyon
85,Minnesota,McLeod
87,Minnesota,Mahnomen
89,Minnesota,Marshall
91,Minnesota,Martin
93,Minnesota,Meeker
95,Minnesota,Mille Lacs
97,Minnesota,Morrison
99,Minnesota,Mower
101,Minnesota,Murray
103,Minnesota,Nicollet
105,Minnesota,Nobles
107,Minnesota,Norman
109,Minnesota,Olmsted
111,Minnesota,Otter Tail
113,Minnesota,Pennington
115,Minnesota,Pine
117,Minnesota,Pipestone
119,Minnesota,Polk
121,Minnesota,Pope
123,Minnesota,Ramsey
125,Minnesota,Red Lake
127,Minnesota,Redwood
129,Minnesota,Renville
131,Minnesota,Rice
133,Minnesota,Rock
135,Minnesota,Roseau
137,Minnesota,St. Louis
139,Minnesota,Scott
141,Minnesota,Sherburne
143,Minnesota,Sibley
145,Minnesota,Stearns
147,Minnesota,Steele
149,Minnesota,Stevens
151,Minnesota,Swift
153,Minnesota,Todd
155,Minnesota,Traverse
157,Minnesota,Wabasha
159,Minnesota,Wadena
161,Minnesota,Waseca
163,Minnesota,Washington
165,Minnesota,Watonwan
167,Minnesota,Wilkin
169,Minnesota,Winona
171,Minnesota,Wright
173,Minnesota,Yellow Medicine
0,Mississippi,Mississippi
1,Mississippi,Adams
3,Mississippi,Alcorn
5,Mississippi,Amite
7,Mississippi,Attala
9,Mississippi,Benton
11,Mississippi,Bolivar
13,Mississippi,Calhoun
15,Mississippi,Carroll
17,Mississippi,Chickasaw
19,Mississippi,Choctaw
21,Mississippi,Claiborne
23,Mississippi,Clarke
25,Mississippi,Clay
27,Mississippi,Coahoma
29,Mississippi,Copiah
31,Mississippi,Covington
33,Mississippi,DeSoto
35,Mississippi,Forrest
37,Mississippi,Franklin
39,Mississippi,George
41,Mississippi,Greene
43,Mississippi,Grenada
45,Mississippi,Hancock
47,Mississippi,Harrison
49,Mississippi,Hinds
51,Mississippi,Holmes
53,Mississippi,Humphreys
55,Mississippi,Issaquena
57,Mississippi,Itawamba
59,Mississippi,Jackson
61,Mississippi,Jasper
63,Mississippi,Jefferson
65,Mississippi,Jefferson Davis
67,Mississippi,Jones
69,Mississippi,Kemper
71,Mississippi,Lafayette
73,Mississippi,Lamar
75,Mississippi,Lauderdale
77,Mississippi,Lawrence
79,Mississippi,Leake
81,Mississippi,Lee
83,Mississippi,Leflore
85,Mississippi,Lincoln
87,Mississippi,Lowndes
89,Mississippi,Madison
91,Mississippi,Marion
93,Mississippi,Marshall
95,Mississippi,Monroe
97,Mississippi,Montgomery
99,Mississippi,Neshoba
101,Mississippi,Newton
103,Mississippi,Noxubee
105,Mississippi,Oktibbeha
107,Mississippi,Panola
109,Mississippi,Pearl River
111,Mississippi,Perry
113,Mississippi,Pike
115,Mississippi,Pontotoc
117,Mississippi,Prentiss
119,Mississippi,Quitman
121,Mississippi,Rankin
123,Mississippi,Scott
125,Mississippi,Sharkey
127,Mississippi,Simpson
129,Mississippi,Smith
131,Mississippi,Stone
133,Mississippi,Sunflower
135,Mississippi,Tallahatchie
137,Mississippi,Tate
139,Mississippi,Tippah
141,Mississippi,Tishomingo
143,Mississippi,Tunica
145,Mississippi,Union
147,Mississippi,Walthall
149,Mississippi,Warren
151,Mississippi,Washington
153,Mississippi,Wayne
155,Mississippi,Webster
157,Mississippi,Wilkinson
159,Mississippi,Winston
161,Mississippi,Yalobusha
163,Mississippi,Yazoo
0,Missouri,Missouri
1,Missouri,Adair
3,Missouri,Andrew
5,Missouri,Atchison
7,Missouri,Audrain
9,Missouri,Barry
11,Missouri,Barton
13,Missouri,Bates
15,Missouri,Benton
17,Missouri,Bollinger
19,Missouri,Boone
21,Missouri,Buchanan
23,Missouri,Butler
25,Missouri,Caldwell
27,Missouri,Callaway
29,Missouri,Camden
31,Missouri,Cape Girardeau
33,Missouri,Carroll
35,Missouri,Carter
37,Missouri,Cass
39,Missouri,Cedar
41,Missouri,Chariton
43,Missouri,Christian
45,Missouri,Clark
47,Missouri,Clay
49,Missouri,Clinton
51,Missouri,Cole
53,Missouri,Cooper
55,Missouri,Crawford
57,Missouri,Dade
59,Missouri,Dallas
61,Missouri,Daviess
63,Missouri,DeKalb
65,Missouri,Dent
67,Missouri,Douglas
69,Missouri,Dunklin
71,Missouri,Franklin
73,Missouri,Gasconade
75,Missouri,Gentry
77,Missouri,Greene
79,Missouri,Grundy
81,Missouri,Harrison
83,Missouri,Henry
85,Missouri,Hickory
87,Missouri,Holt
89,Missouri,Howard
91,Missouri,Howell
93,Missouri,Iron
95,Missouri,Jackson
97,Missouri,Jasper
99,Missouri,Jefferson
101,Missouri,Johnson
103,Missouri,Knox
105,Missouri,Laclede
107,Missouri,Lafayette
109,Missouri,Lawrence
111,Missouri,Lewis
113,Missouri,Lincoln
115,Missouri,Linn
117,Missouri,Livingston
119,Missouri,McDonald
121,Missouri,Macon
123,Missouri,Madison
125,Missouri,Maries
127,Missouri,Marion
129,Missouri,Mercer
131,Missouri,Miller
133,Missouri,Mississippi
135,Missouri,Moniteau
137,Missouri,Monroe
139,Missouri,Montgomery
141,Missouri,Morgan
143,Missouri,New Madrid
145,Missouri,Newton
147,Missouri,Nodaway
149,Missouri,Oregon
151,Missouri,Osage
153,Missouri,Ozark
155,Missouri,Pemiscot
157,Missouri,Perry
159,Missouri,Pettis
161,Missouri,Phelps
163,Missouri,Pike
165,Missouri,Platte
167,Missouri,Polk
169,Missouri,Pulaski
171,Missouri,Putnam
173,Missouri,Ralls
175,Missouri,Randolph
177,Missouri,Ray
179,Missouri,Reynolds
181,Missouri,Ripley
183,Missouri,St. Charles
185,Missouri,St. Clair
186,Missouri,Ste. Genevieve
187,Missouri,St. Francois
189,Missouri,St. Louis
195,Missouri,Saline
197,Missouri,Schuyler
199,Missouri,Scotland
201,Missouri,Scott
203,Missouri,Shannon
205,Missouri,Shelby
207,Missouri,Stoddard
209,Missouri,Stone
211,Missouri,Sullivan
213,Missouri,Taney
215,Missouri,Texas
217,Missouri,Vernon
219,Missouri,Warren
221,Missouri,Washington
223,Missouri,Wayne
225,Missouri,Webster
227,Missouri,Worth
229,Missouri,Wright
510,Missouri,St. Louis city
0,Montana,Montana
1,Montana,Beaverhead
3,Montana,Big Horn
5,Montana,Blaine
7,Montana,Broadwater
9,Montana,Carbon
11,Montana,Carter
13,Montana,Cascade
15,Montana,Chouteau
17,Montana,Custer
19,Montana,Daniels
21,Montana,Dawson
23,Montana,Deer Lodge
25,Montana,Fallon
27,Montana,Fergus
29,Montana,Flathead
31,Montana,Gallatin
33,Montana,Garfield
35,Montana,Glacier
37,Montana,Golden Valley
39,Montana,Granite
41,Montana,Hill
43,Montana,Jefferson
45,Montana,Judith Basin
47,Montana,Lake
49,Montana,Lewis and Clark
51,Montana,Liberty
53,Montana,Lincoln
55,Montana,McCone
57,Montana,Madison
59,Montana,Meagher
61,Montana,Mineral
63,Montana,Missoula
65,Montana,Musselshell
67,Montana,Park
69,Montana,Petroleum
71,Montana,Phillips
73,Montana,Pondera
75,Montana,Powder River
77,Montana,Powell
79,Montana,Prairie
81,Montana,Ravalli
83,Montana,Richland
85,Montana,Roosevelt
87,Montana,Rosebud
89,Montana,Sanders
91,Montana,Sheridan
93,Montana,Silver Bow
95,Montana,Stillwater
97,Montana,Sweet Grass
99,Montana,Teton
101,Montana,Toole
103,Montana,Treasure
105,Montana,Valley
107,Montana,Wheatland
109,Montana,Wibaux
111,Montana,Yellowstone
0,Nebraska,Nebraska
1,Nebraska,Adams
3,Nebraska,Antelope
5,Nebraska,Arthur
7,Nebraska,Banner
9,Nebraska,Blaine
11,Nebraska,Boone
13,Nebraska,Box Butte
15,Nebraska,Boyd
17,Nebraska,Brown
19,Nebraska,Buffalo
21,Nebraska,Burt
23,Nebraska,Butler
25,Nebraska,Cass
27,Nebraska,Cedar
29,Nebraska,Chase
31,Nebraska,Cherry
33,Nebraska,Cheyenne
35,Nebraska,Clay
37,Nebraska,Colfax
39,Nebraska,Cuming
41,Nebraska,Custer
43,Nebraska,Dakota
45,Nebraska,Dawes
47,Nebraska,Dawson
49,Nebraska,Deuel
51,Nebraska,Dixon
53,Nebraska,Dodge
55,Nebraska,Douglas
57,Nebraska,Dundy
59,Nebraska,Fillmore
61,Nebraska,Franklin
63,Nebraska,Frontier
65,Nebraska,Furnas
67,Nebraska,Gage
69,Nebraska,Garden
71,Nebraska,Garfield
73,Nebraska,Gosper
75,Nebraska,Grant
77,Nebraska,Greeley
79,Nebraska,Hall
81,Nebraska,Hamilton
83,Nebraska,Harlan
85,Nebraska,Hayes
87,Nebraska,Hitchcock
89,Nebraska,Holt
91,Nebraska,Hooker
93,Nebraska,Howard
95,Nebraska,Jefferson
97,Nebraska,Johnson
99,Nebraska,Kearney
101,Nebraska,Keith
103,Nebraska,Keya Paha
105,Nebraska,Kimball
107,Nebraska,Knox
109,Nebraska,Lancaster
111,Nebraska,Lincoln
113,Nebraska,Logan
115,Nebraska,Loup
117,Nebraska,McPherson
119,Nebraska,Madison
121,Nebraska,Merrick
123,Nebraska,Morrill
125,Nebraska,Nance
127,Nebraska,Nemaha
129,Nebraska,Nuckolls
131,Nebraska,Otoe
133,Nebraska,Pawnee
135,Nebraska,Perkins
137,Nebraska,Phelps
139,Nebraska,Pierce
141,Nebraska,Platte
143,Nebraska,Polk
145,Nebraska,Red Willow
147,Nebraska,Richardson
149,Nebraska,Rock
151,Nebraska,Saline
153,Nebraska,Sarpy
155,Nebraska,Saunders
157,Nebraska,Scotts Bluff
159,Nebraska,Seward
161,Nebraska,Sheridan
163,Nebraska,Sherman
165,Nebraska,Sioux
167,Nebraska,Stanton
169,Nebraska,Thayer
171,Nebraska,Thomas
173,Nebraska,Thurston
175,Nebraska,Valley
177,Nebraska,Washington
179,Nebraska,Wayne
181,Nebraska,Webster
183,Nebraska,Wheeler
185,Nebraska,York
0,Nevada,Nevada
1,Nevada,Churchill
3,Nevada,Clark
5,Nevada,Douglas
7,Nevada,Elko
9,Nevada,Esmeralda
11,Nevada,Eureka
13,Nevada,Humboldt
15,Nevada,Lander
17,Nevada,Lincoln
19,Nevada,Lyon
21,Nevada,Mineral
23,Nevada,Nye
27,Nevada,Pershing
29,Nevada,Storey
31,Nevada,Washoe
33,Nevada,White Pine
510,Nevada,Carson City
0,New Hampshire,New Hampshire
1,New Hampshire,Belknap
3,New Hampshire,Carroll
5,New Hampshire,Cheshire
7,New Hampshire,Coos
9,New Hampshire,Grafton
11,New Hampshire,Hillsborough
13,New Hampshire,Merrimack
15,New Hampshire,Rockingham
17,New Hampshire,Strafford
19,New Hampshire,Sullivan
0,New Jersey,New Jersey
1,New Jersey,Atlantic
3,New Jersey,Bergen
5,New Jersey,Burlington
7,New Jersey,Camden
9,New Jersey,Cape May
11,New Jersey,Cumberland
13,New Jersey,Essex
15,New Jersey,Gloucester
17,New Jersey,Hudson
19,New Jersey,Hunterdon
21,New Jersey,Mercer
23,New Jersey,Middlesex
25,New Jersey,Monmouth
27,New Jersey,Morris
29,New Jersey,Ocean
31,New Jersey,Passaic
33,New Jersey,Salem
35,New Jersey,Somerset
37,New Jersey,Sussex
39,New Jersey,Union
41,New Jersey,Warren
0,New Mexico,New Mexico
1,New Mexico,Bernalillo
3,New Mexico,Catron
5,New Mexico,Chaves
6,New Mexico,Cibola
7,New Mexico,Colfax
9,New Mexico,Curry
11,New Mexico,De Baca
13,New Mexico,DoÒa Ana
15,New Mexico,Eddy
17,New Mexico,Grant
19,New Mexico,Guadalupe
21,New Mexico,Harding
23,New Mexico,Hidalgo
25,New Mexico,Lea
27,New Mexico,Lincoln
28,New Mexico,Los Alamos
29,New Mexico,Luna
31,New Mexico,McKinley
33,New Mexico,Mora
35,New Mexico,Otero
37,New Mexico,Quay
39,New Mexico,Rio Arriba
41,New Mexico,Roosevelt
43,New Mexico,Sandoval
45,New Mexico,San Juan
47,New Mexico,San Miguel
49,New Mexico,Santa Fe
51,New Mexico,Sierra
53,New Mexico,Socorro
55,New Mexico,Taos
57,New Mexico,Torrance
59,New Mexico,Union
61,New Mexico,Valencia
0,New York,New York
1,New York,Albany
3,New York,Allegany
5,New York,Bronx
7,New York,Broome
9,New York,Cattaraugus
11,New York,Cayuga
13,New York,Chautauqua
15,New York,Chemung
17,New York,Chenango
19,New York,Clinton
21,New York,Columbia
23,New York,Cortland
25,New York,Delaware
27,New York,Dutchess
29,New York,Erie
31,New York,Essex
33,New York,Franklin
35,New York,Fulton
37,New York,Genesee
39,New York,Greene
41,New York,Hamilton
43,New York,Herkimer
45,New York,Jefferson
47,New York,Kings
49,New York,Lewis
51,New York,Livingston
53,New York,Madison
55,New York,Monroe
57,New York,Montgomery
59,New York,Nassau
61,New York,New York
63,New York,Niagara
65,New York,Oneida
67,New York,Onondaga
69,New York,Ontario
71,New York,Orange
73,New York,Orleans
75,New York,Oswego
77,New York,Otsego
79,New York,Putnam
81,New York,Queens
83,New York,Rensselaer
85,New York,Richmond
87,New York,Rockland
89,New York,St. Lawrence
91,New York,Saratoga
93,New York,Schenectady
95,New York,Schoharie
97,New York,Schuyler
99,New York,Seneca
101,New York,Steuben
103,New York,Suffolk
105,New York,Sullivan
107,New York,Tioga
109,New York,Tompkins
111,New York,Ulster
113,New York,Warren
115,New York,Washington
117,New York,Wayne
119,New York,Westchester
121,New York,Wyoming
123,New York,Yates
0,North Carolina,North Carolina
1,North Carolina,Alamance
3,North Carolina,Alexander
5,North Carolina,Alleghany
7,North Carolina,Anson
9,North Carolina,Ashe
11,North Carolina,Avery
13,North Carolina,Beaufort
15,North Carolina,Bertie
17,North Carolina,Bladen
19,North Carolina,Brunswick
21,North Carolina,Buncombe
23,North Carolina,Burke
25,North Carolina,Cabarrus
27,North Carolina,Caldwell
29,North Carolina,Camden
31,North Carolina,Carteret
33,North Carolina,Caswell
35,North Carolina,Catawba
37,North Carolina,Chatham
39,North Carolina,Cherokee
41,North Carolina,Chowan
43,North Carolina,Clay
45,North Carolina,Cleveland
47,North Carolina,Columbus
49,North Carolina,Craven
51,North Carolina,Cumberland
53,North Carolina,Currituck
55,North Carolina,Dare
57,North Carolina,Davidson
59,North Carolina,Davie
61,North Carolina,Duplin
63,North Carolina,Durham
65,North Carolina,Edgecombe
67,North Carolina,Forsyth
69,North Carolina,Franklin
71,North Carolina,Gaston
73,North Carolina,Gates
75,North Carolina,Graham
77,North Carolina,Granville
79,North Carolina,Greene
81,North Carolina,Guilford
83,North Carolina,Halifax
85,North Carolina,Harnett
87,North Carolina,Haywood
89,North Carolina,Henderson
91,North Carolina,Hertford
93,North Carolina,Hoke
95,North Carolina,Hyde
97,North Carolina,Iredell
99,North Carolina,Jackson
101,North Carolina,Johnston
103,North Carolina,Jones
105,North Carolina,Lee
107,North Carolina,Lenoir
109,North Carolina,Lincoln
111,North Carolina,McDowell
113,North Carolina,Macon
115,North Carolina,Madison
117,North Carolina,Martin
119,North Carolina,Mecklenburg
121,North Carolina,Mitchell
123,North Carolina,Montgomery
125,North Carolina,Moore
127,North Carolina,Nash
129,North Carolina,New Hanover
131,North Carolina,Northampton
133,North Carolina,Onslow
135,North Carolina,Orange
137,North Carolina,Pamlico
139,North Carolina,Pasquotank
141,North Carolina,Pender
143,North Carolina,Perquimans
145,North Carolina,Person
147,North Carolina,Pitt
149,North Carolina,Polk
151,North Carolina,Randolph
153,North Carolina,Richmond
155,North Carolina,Robeson
157,North Carolina,Rockingham
159,North Carolina,Rowan
161,North Carolina,Rutherford
163,North Carolina,Sampson
165,North Carolina,Scotland
167,North Carolina,Stanly
169,North Carolina,Stokes
171,North Carolina,Surry
173,North Carolina,Swain
175,North Carolina,Transylvania
177,North Carolina,Tyrrell
179,North Carolina,Union
181,North Carolina,Vance
183,North Carolina,Wake
185,North Carolina,Warren
187,North Carolina,Washington
189,North Carolina,Watauga
191,North Carolina,Wayne
193,North Carolina,Wilkes
195,North Carolina,Wilson
197,North Carolina,Yadkin
199,North Carolina,Yancey
0,North Dakota,North Dakota
1,North Dakota,Adams
3,North Dakota,Barnes
5,North Dakota,Benson
7,North Dakota,Billings
9,North Dakota,Bottineau
11,North Dakota,Bowman
13,North Dakota,Burke
15,North Dakota,Burleigh
17,North Dakota,Cass
19,North Dakota,Cavalier
21,North Dakota,Dickey
23,North Dakota,Divide
25,North Dakota,Dunn
27,North Dakota,Eddy
29,North Dakota,Emmons
31,North Dakota,Foster
33,North Dakota,Golden Valley
35,North Dakota,Grand Forks
37,North Dakota,Grant
39,North Dakota,Griggs
41,North Dakota,Hettinger
43,North Dakota,Kidder
45,North Dakota,LaMoure
47,North Dakota,Logan
49,North Dakota,McHenry
51,North Dakota,McIntosh
53,North Dakota,McKenzie
55,North Dakota,McLean
57,North Dakota,Mercer
59,North Dakota,Morton
61,North Dakota,Mountrail
63,North Dakota,Nelson
65,North Dakota,Oliver
67,North Dakota,Pembina
69,North Dakota,Pierce
71,North Dakota,Ramsey
73,North Dakota,Ransom
75,North Dakota,Renville
77,North Dakota,Richland
79,North Dakota,Rolette
81,North Dakota,Sargent
83,North Dakota,Sheridan
85,North Dakota,Sioux
87,North Dakota,Slope
89,North Dakota,Stark
91,North Dakota,Steele
93,North Dakota,Stutsman
95,North Dakota,Towner
97,North Dakota,Traill
99,North Dakota,Walsh
101,North Dakota,Ward
103,North Dakota,Wells
105,North Dakota,Williams
0,Ohio,Ohio
1,Ohio,Adams
3,Ohio,Allen
5,Ohio,Ashland
7,Ohio,Ashtabula
9,Ohio,Athens
11,Ohio,Auglaize
13,Ohio,Belmont
15,Ohio,Brown
17,Ohio,Butler
19,Ohio,Carroll
21,Ohio,Champaign
23,Ohio,Clark
25,Ohio,Clermont
27,Ohio,Clinton
29,Ohio,Columbiana
31,Ohio,Coshocton
33,Ohio,Crawford
35,Ohio,Cuyahoga
37,Ohio,Darke
39,Ohio,Defiance
41,Ohio,Delaware
43,Ohio,Erie
45,Ohio,Fairfield
47,Ohio,Fayette
49,Ohio,Franklin
51,Ohio,Fulton
53,Ohio,Gallia
55,Ohio,Geauga
57,Ohio,Greene
59,Ohio,Guernsey
61,Ohio,Hamilton
63,Ohio,Hancock
65,Ohio,Hardin
67,Ohio,Harrison
69,Ohio,Henry
71,Ohio,Highland
73,Ohio,Hocking
75,Ohio,Holmes
77,Ohio,Huron
79,Ohio,Jackson
81,Ohio,Jefferson
83,Ohio,Knox
85,Ohio,Lake
87,Ohio,Lawrence
89,Ohio,Licking
91,Ohio,Logan
93,Ohio,Lorain
95,Ohio,Lucas
97,Ohio,Madison
99,Ohio,Mahoning
101,Ohio,Marion
103,Ohio,Medina
105,Ohio,Meigs
107,Ohio,Mercer
109,Ohio,Miami
111,Ohio,Monroe
113,Ohio,Montgomery
115,Ohio,Morgan
117,Ohio,Morrow
119,Ohio,Muskingum
121,Ohio,Noble
123,Ohio,Ottawa
125,Ohio,Paulding
127,Ohio,Perry
129,Ohio,Pickaway
131,Ohio,Pike
133,Ohio,Portage
135,Ohio,Preble
137,Ohio,Putnam
139,Ohio,Richland
141,Ohio,Ross
143,Ohio,Sandusky
145,Ohio,Scioto
147,Ohio,Seneca
149,Ohio,Shelby
151,Ohio,Stark
153,Ohio,Summit
155,Ohio,Trumbull
157,Ohio,Tuscarawas
159,Ohio,Union
161,Ohio,Van Wert
163,Ohio,Vinton
165,Ohio,Warren
167,Ohio,Washington
169,Ohio,Wayne
171,Ohio,Williams
173,Ohio,Wood
175,Ohio,Wyandot
0,Oklahoma,Oklahoma
1,Oklahoma,Adair
3,Oklahoma,Alfalfa
5,Oklahoma,Atoka
7,Oklahoma,Beaver
9,Oklahoma,Beckham
11,Oklahoma,Blaine
13,Oklahoma,Bryan
15,Oklahoma,Caddo
17,Oklahoma,Canadian
19,Oklahoma,Carter
21,Oklahoma,Cherokee
23,Oklahoma,Choctaw
25,Oklahoma,Cimarron
27,Oklahoma,Cleveland
29,Oklahoma,Coal
31,Oklahoma,Comanche
33,Oklahoma,Cotton
35,Oklahoma,Craig
37,Oklahoma,Creek
39,Oklahoma,Custer
41,Oklahoma,Delaware
43,Oklahoma,Dewey
45,Oklahoma,Ellis
47,Oklahoma,Garfield
49,Oklahoma,Garvin
51,Oklahoma,Grady
53,Oklahoma,Grant
55,Oklahoma,Greer
57,Oklahoma,Harmon
59,Oklahoma,Harper
61,Oklahoma,Haskell
63,Oklahoma,Hughes
65,Oklahoma,Jackson
67,Oklahoma,Jefferson
69,Oklahoma,Johnston
71,Oklahoma,Kay
73,Oklahoma,Kingfisher
75,Oklahoma,Kiowa
77,Oklahoma,Latimer
79,Oklahoma,Le Flore
81,Oklahoma,Lincoln
83,Oklahoma,Logan
85,Oklahoma,Love
87,Oklahoma,McClain
89,Oklahoma,McCurtain
91,Oklahoma,McIntosh
93,Oklahoma,Major
95,Oklahoma,Marshall
97,Oklahoma,Mayes
99,Oklahoma,Murray
101,Oklahoma,Muskogee
103,Oklahoma,Noble
105,Oklahoma,Nowata
107,Oklahoma,Okfuskee
109,Oklahoma,Oklahoma
111,Oklahoma,Okmulgee
113,Oklahoma,Osage
115,Oklahoma,Ottawa
117,Oklahoma,Pawnee
119,Oklahoma,Payne
121,Oklahoma,Pittsburg
123,Oklahoma,Pontotoc
125,Oklahoma,Pottawatomie
127,Oklahoma,Pushmataha
129,Oklahoma,Roger Mills
131,Oklahoma,Rogers
133,Oklahoma,Seminole
135,Oklahoma,Sequoyah
137,Oklahoma,Stephens
139,Oklahoma,Texas
141,Oklahoma,Tillman
143,Oklahoma,Tulsa
145,Oklahoma,Wagoner
147,Oklahoma,Washington
149,Oklahoma,Washita
151,Oklahoma,Woods
153,Oklahoma,Woodward
0,Oregon,Oregon
1,Oregon,Baker
3,Oregon,Benton
5,Oregon,Clackamas
7,Oregon,Clatsop
9,Oregon,Columbia
11,Oregon,Coos
13,Oregon,Crook
15,Oregon,Curry
17,Oregon,Deschutes
19,Oregon,Douglas
21,Oregon,Gilliam
23,Oregon,Grant
